CODVIA,NOMVIA,NUMERO,NOM_ACTIVITAT,TIPUS,CATEGORIA,LAT,LNG,WEBSITE,TELEFON,HORARI,FONT,BARRI,DISTRICTE,ADRECA,CCAE
,c. de Sant Cugat,16,ANGELS MOYA ESTILISTES,activitat_econòmica,Perruqueria i altres tractaments de bellesa,41.5434,2.11071,,,,sabadellempresa.cat,EL CENTRE,1,"c. de Sant Cugat, 16 Bxs 2a",Perruqueria i altres tractaments de bellesa
,c. de Gràcia,48,ANNA BUILS PERRUQUERS,activitat_econòmica,Perruqueria i altres tractaments de bellesa,41.5478,2.09612,,,,sabadellempresa.cat,EL CENTRE,1,"c. de Gràcia, 48E Bxs",Perruqueria i altres tractaments de bellesa
,c. de les Tres Creus,111,ANNA FERRER,activitat_econòmica,Perruqueria i altres tractaments de bellesa,41.5473,2.10898,,,,sabadellempresa.cat,EL CENTRE,1,"c. de les Tres Creus, 111 Bxs 1a",Perruqueria i altres tractaments de bellesa
,c. de Calderón,5,ANNA Q,activitat_econòmica,Comerç al detall de peces de vestir en establiments especialitzats,41.5482,2.10716,,,,sabadellempresa.cat,EL CENTRE,1,"c. de Calderón, 5 Bxs Esq",Comerç al detall de peces de vestir en establiments especialitzats
,c. de Sant Baldomer,64,APARCAMENT ESCLAT,activitat_econòmica,Activitats afins al transport terrestre,41.5473,2.1055,,,,sabadellempresa.cat,HOSTAFRANCS,1,"c. de Sant Baldomer, 64 Bxs",Activitats afins al transport terrestre
,c. de Gurrea,4,APARCAMENT MUR,activitat_econòmica,Activitats afins al transport terrestre,41.5458,2.10536,,,,sabadellempresa.cat,EL CENTRE,1,"c. de Gurrea, 4 S01 74a",Activitats afins al transport terrestre
,c. de les Paus,79,APLICACIONS C M ELECTRONICA SL,activitat_econòmica,Serveis tècnics d'enginyeria i altres activitats relacionades amb l'assessoramen,41.5477,2.10702,,,,sabadellempresa.cat,EL CENTRE,1,"c. de les Paus, 79 Bxs 1a",Serveis tècnics d'enginyeria i altres activitats relacionades amb l'assessorament tècnic
,c. de Garcilaso,46,AQHUAPC,activitat_econòmica,Activitats de programació informàtica,41.5485,2.10653,,,,sabadellempresa.cat,EL CENTRE,1,"c. de Garcilaso, 46 Bxs",Activitats de programació informàtica
,rda. de Ponent,143,ARAUTO SABADELL,activitat_econòmica,Manteniment i reparació de vehicles de motor,41.5462,2.11376,,,,sabadellempresa.cat,HOSTAFRANCS,1,"rda. de Ponent, 143 Bxs",Manteniment i reparació de vehicles de motor
,c. de l' Illa,41,ARKI TECNIX CREATIUS,activitat_econòmica,Serveis tècnics d'arquitectura,41.5481,2.10651,,,,sabadellempresa.cat,EL CENTRE,1,"c. de l' Illa, 41 Bxs",Serveis tècnics d'arquitectura
,via de Massagué,75,AROMES DE SABADELL,activitat_econòmica,Establiments de begudes,41.5427,2.11139,,,,sabadellempresa.cat,EL CENTRE,1,"via de Massagué, 75 Bxs",Establiments de begudes
,rda. de Ponent,92,ARQUINTERIOR,activitat_econòmica,"Comerç al detall de mobles, aparells d'il·luminació i d'altres articles d'ús dom",41.551,2.11211,,,,sabadellempresa.cat,EL CENTRE,1,"rda. de Ponent, 92 Bxs 4a","Comerç al detall de mobles, aparells d'il·luminació i d'altres articles d'ús domèstic en establiments especialitzats"
,c. del Doctor Puig,34,ARQUITECTURA I PAISSATGISME,activitat_econòmica,Serveis tècnics d'arquitectura,41.5503,2.10497,,,,sabadellempresa.cat,EL CENTRE,1,"c. del Doctor Puig, 34 2n 2a",Serveis tècnics d'arquitectura
,Rambla,178,ARREGLOS ROBA I PELL,activitat_econòmica,Reparació d'efectes personals i articles d'ús domèstic ncaa,41.5483,2.09862,,,,sabadellempresa.cat,EL CENTRE,1,"Rambla, 178 Bxs 5a",Reparació d'efectes personals i articles d'ús domèstic ncaa
,c. de Torras i Bages,25,ARRENDAMENTS L C SCP,activitat_econòmica,Lloguer de béns immobiliaris per compte propi,41.5454,2.1085,,,,sabadellempresa.cat,EL CENTRE,1,"c. de Torras i Bages, 25 1 Bxs 1a",Lloguer de béns immobiliaris per compte propi
,c. de les Tres Creus,105,ART BO,activitat_econòmica,"Comerç al detall de pa i productes de fleca, confiteria i pastisseria en establi",41.5487,2.11306,,,,sabadellempresa.cat,EL CENTRE,1,"c. de les Tres Creus, 105 Bxs 2a","Comerç al detall de pa i productes de fleca, confiteria i pastisseria en establiments especialitzats"
