CODVIA,NOMVIA,NUMERO,NOM_ACTIVITAT,GRUP,TIPUS,CATEGORIA,LAT,LNG,WEBSITE,TELEFON,HORARI,FONT,BARRI,DISTRICTE,ADRECA,CCAE
,Passatge Ferrán Llàcer,16,Metges de Capçalera S.L.,Salut - Medicina,clinic,Sanitat,41.5460,2.1060,,937220909,,Sanitas,,1,Passatge Ferrán Llàcer 16,
,Carrer de Prat de la Riba,49,E I X Centre Sanitari S.L.,Salut - Medicina,clinic,Sanitat,41.5497,2.1003,,937231273,,Sanitas,,1,Carrer de Prat de la Riba 49,
,Carrer de Casanovas i Bosch,46,Centro de Medicina Correctiva S.L.,Salut - Medicina,clinic,Sanitat,41.5440,2.1092,,937256944,,Sanitas,,1,Carrer de Casanovas i Bosch 46,
,Carrer de la República,28,Clínica Dental Sanitas Milenium Sabadell Centre,Salut - Medicina,dentist,Sanitat,41.5472,2.1040,,932550379,,Sanitas,,1,Carrer de la República 28,
,Carrer de la República,2,Ita Catalunya,Salut - Medicina,clinic,Sanitat,41.5443,2.1075,,937220855,,Sanitas,,1,Carrer de la República 2,
,Carrer de Batllevell,60,Aridane Centre Psicologia,Salut - Medicina,doctors,Sanitat,41.5481,2.1070,,937231596,,Sanitas,,1,Carrer de Batllevell 60,
,Plaça de Catalunya,13,Consulta Metge General Lloansí Estrada,Salut - Medicina,doctors,Sanitat,41.5493,2.0990,,937258518,,Sanitas,,1,Plaça de Catalunya 13,
,Carrer de Calderón,10,Consulta Oftalmologia Valentines Pont,Salut - Medicina,doctors,Sanitat,41.5483,2.1069,,937269144,,Sanitas,,1,Carrer de Calderón 10,
,Carrer de Batllevell,62,Consulta Pediatria Castillo Chapoñan,Salut - Medicina,doctors,Sanitat,41.5481,2.1071,,937230491,,Sanitas,,1,Carrer de Batllevell 62,
,Carrer de Montserrat,1,Laboratori Durán Bellido i Durán Company,Salut - Medicina,doctors,Sanitat,41.5475,2.1122,,937279591,,Sanitas,,1,Carrer de Montserrat 1,
,Avinguda de Barberà,253,Consulta Ginecologia Espelt Badia,Salut - Medicina,doctors,Sanitat,41.5338,2.1152,,937104447,,Sanitas,,1,Avinguda de Barberà 253,
