CODNUM,NUMCOM,TIPUS,CODVIA,NOMVIA,LAT,LNG
60180,69,,1353,c. del Doctor Xercavins,41.55276549,2.11016922
60206,58,,568,c. de la Soledat,41.55214462,2.109664
60229,29,,1353,c. del Doctor Xercavins,41.55200121,2.11072963
60248,6,,568,c. de la Soledat,41.5511194,2.11046703
60254,20,,568,c. de la Soledat,41.55141651,2.11023437
60257,26,,568,c. de la Soledat,41.55152395,2.11015027
60275,20,,490,c. del Vapor,41.55115691,2.10946879
60284,81,,657,c. de la Salut,41.5510195,2.11040154
60291,30,,1008,c. de Manaut,41.55108636,2.10989386
60292,24,,1008,c. de Manaut,41.5510008,2.10974756
60297,18,,490,c. del Vapor,41.55110547,2.10950417
60313,17,,490,c. del Vapor,41.55118289,2.1093322
60316,9,,490,c. del Vapor,41.55104829,2.10942256
60319,50,,1401,c. del Convent,41.55087577,2.1085407
60321,56,,1401,c. del Convent,41.55099056,2.10844975
60323,60,,1401,c. del Convent,41.55106486,2.10840449
60341,13,,1546,c. de Bofí,41.55235308,2.11153062
60356,88,,467,c. de Vilarrúbias,41.55312053,2.110442
58107,6,,687,pl. de Rogelio Soto,41.52826949,2.11118905
60371,30,,1353,c. del Doctor Xercavins,41.55235742,2.11058428
60372,32,,1353,c. del Doctor Xercavins,41.5523894,2.11056101
60391,33,,1546,c. de Bofí,41.55294993,2.11109855
60419,106,,657,c. de la Salut,41.55152713,2.11134618
60421,110,,657,c. de la Salut,41.55160196,2.11142215
60428,68,,657,c. de la Salut,41.55089515,2.11045179
60430,72,,657,c. de la Salut,41.55097196,2.11056588
60431,74,,657,c. de la Salut,41.55100144,2.1106096
60436,84,,657,c. de la Salut,41.55112896,2.1107991
60438,88,,657,c. de la Salut,41.55117698,2.11087044
60488,19,,609,c. de Sant Miquel,41.55330802,2.10689696
60495,5,,609,c. de Sant Miquel,41.55307583,2.10704045
60496,3,,609,c. de Sant Miquel,41.55304448,2.10705975
60504,24,,915,c. de Montllor i Pujal,41.55289966,2.1064889
60531,145,,1018,c. de Magí Colet,41.52382125,2.114312
60534,4,,1180,ptge. de la Granja del Pas,41.52374235,2.11446353
60544,118,,1297,c. d' Esteve Paluzie,41.52323331,2.11465456
60553,112,,1297,c. d' Esteve Paluzie,41.52336,2.115035
60569,133,,714,c. dels Reis Catòlics,41.52353502,2.11536368
60571,127,,714,c. dels Reis Catòlics,41.52362822,2.11530694
60581,30,,1285,c. de Feijoo,41.52826978,2.11600037
60585,59,,1329,c. d' Elcano,41.52698247,2.11485446
60594,10,,1334,c. d' Eduard Brossa,41.52679799,2.11549691
